book_id,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,publication_year,publication_year_flag,average_rating_flag,num_pages_raw,page_length_bucket,media_type_hint,num_pages_capped,ratings_count_raw,ratings_count_capped,text_reviews_count_raw,text_reviews_count_capped,authors_raw,authors_clean,canonical_book_id,is_duplicate
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517149257,9780517149256,eng,815,2877,195,1996-01-17,Wings Books,1996,,,815,,,815,2877,2877,195,195,Douglas Adams,Douglas Adams,18,False
21,A Short History of Nearly Everything,Bill Bryson,4.21,076790818X,9780767908184,eng,544,248558,9396,2004-09-14,Broadway Books,2004,,,544,,,544,248558,248558,9396,9396,Bill Bryson,Bill Bryson,21,False
22,Bill Bryson's African Diary,Bill Bryson,3.44,0767915062,9780767915069,eng,55,7270,499,2002-12-03,Broadway Books,2002,,,55,,,55,7270,7270,499,499,Bill Bryson,Bill Bryson,22,False
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,0767910435,9780767910439,eng,256,2088,131,2004-09-14,Broadway Books,2004,,,256,,,256,2088,2088,131,131,Bill Bryson,Bill Bryson,23,False
24,In a Sunburned Country,Bill Bryson,4.07,0767903862,9780767903868,eng,335,72451,4245,2001-05-15,Broadway Books,2001,,,335,,,335,72451,72451,4245,4245,Bill Bryson,Bill Bryson,24,False
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,076790382X,9780767903820,eng,304,49240,2211,2000-06-28,Broadway Books,2000,,,304,,,304,49240,49240,2211,2211,Bill Bryson,Bill Bryson,25,False
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,0060920084,9780060920081,eng,299,45712,2257,1990-08-28,William Morrow Paperbacks,1990,,,299,,,299,45712,45712,2257,2257,Bill Bryson,Bill Bryson,26,False
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,0380713802,9780380713806,eng,254,48701,2238,1993-03-28,William Morrow Paperbacks,1993,,,254,,,254,48701,48701,2238,2238,Bill Bryson,Bill Bryson,27,False
28,Notes from a Small Island,Bill Bryson,3.91,0380727501,9780380727506,eng,324,80609,3301,1997-05-28,William Morrow Paperbacks,1997,,,324,,,324,80609,80609,3301,3301,Bill Bryson,Bill Bryson,28,False
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,0380715430,9780380715435,eng,270,28489,2085,1991-09-28,William Morrow Paperbacks,1991,,,270,,,270,28489,28489,2085,2085,Bill Bryson,Bill Bryson,29,False
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,0345538374,9780345538376,eng,1728,101233,1550,2012-09-25,Ballantine Books,2012,,,1728,,,1728,101233,101233,1550,1550,J.R.R. Tolkien,J.R.R. Tolkien,30,False
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,0618517650,9780618517657,eng,1184,1710,91,2004-10-21,Houghton Mifflin Harcourt,2004,,,1184,,,1184,1710,1710,91,91,J.R.R. Tolkien,J.R.R. Tolkien,31,False
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,0618346252,9780618346257,eng,398,2128944,13670,2003-09-05,Houghton Mifflin Harcourt,2003,,,398,,,398,2128944,597244,13670,13670,J.R.R. Tolkien,J.R.R. Tolkien,34,False
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien / Alan Lee,4.5,0618260587,9780618260584,en-US,1216,1618,140,2002-10-01,Houghton Mifflin Harcourt,2002,,,1216,,,1216,1618,1618,140,140,J.R.R. Tolkien/Alan  Lee,J.R.R. Tolkien/Alan Lee,35,False
36,The Lord of the Rings: Weapons and Warfare,Chris Smith / Christopher Lee / Richard Taylor,4.53,0618391002,9780618391004,eng,218,19822,46,2003-11-05,Houghton Mifflin Harcourt,2003,,,218,,,218,19822,19822,46,46,Chris   Smith/Christopher  Lee/Richard Taylor,Chris Smith/Christopher Lee/Richard Taylor,36,False
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,0618510826,9780618510825,eng,224,359,6,2004-11-15,Houghton Mifflin Harcourt,2004,,,224,,,224,359,359,6,6,Jude Fisher,Jude Fisher,37,False
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas / David Heinemeier Hansson / Leon Breedt / Mike Clark / Thomas Fuchs / Andreas Schwarz,3.84,097669400X,9780976694007,eng,558,1430,59,2005-07-28,Pragmatic Bookshelf,2005,,,558,,,558,1430,1430,59,59,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas Fuchs/Andreas Schwarz,45,False
50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,0689840926,9780689840920,eng,208,270244,12017,2000-04-01,Atheneum Books for Young Readers: Richard Jackson Books,2000,,,208,,,208,270244,270244,12017,12017,Gary Paulsen,Gary Paulsen,50,False
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes / Edward Sciranko / Keith Vasconcelles,4.0,1557344493,9781557344496,eng,48,36,2,1994-08-28,Teacher Created Resources,1994,,,48,,,48,36,36,2,2,Donna Ickes/Edward Sciranko/Keith Vasconcelles,Donna Ickes/Edward Sciranko/Keith Vasconcelles,51,False
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,0385326505,9780385326506,eng,144,2067,334,2001-01-23,Delacorte Press,2001,,,144,,,144,2067,2067,334,334,Gary Paulsen,Gary Paulsen,53,False
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,9781575606248,eng,56,6,0,2003-06-10,Cherry Lane Music Company,2003,,,56,,,56,6,6,0,0,Molly Hatchet,Molly Hatchet,54,False
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,1595580271,9781595580276,en-US,228,99,16,2005-11-01,The New Press,2005,,,228,,,228,99,99,16,16,Dale Peck,Dale Peck,55,False
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight / Sahara Kelly / Judy Mays / Marteeka Karland / Kate Douglas / Shelby Morgen / Lacey Savage / Kate Hill / Willa Okati,3.76,1595962808,9781595962805,eng,304,167,4,2005-11-01,Changeling Press,2005,,,304,,,304,167,167,4,4,Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,57,False
58,Changeling (Changeling  #1),Delia Sherman,3.6,0670059676,9780670059676,eng,256,978,111,2006-08-17,Viking Juvenile,2006,,,256,,,256,978,978,111,111,Delia Sherman,Delia Sherman,58,False
59,The Changeling Sea,Patricia A. McKillip,4.06,0141312629,9780141312620,eng,137,4454,302,2003-04-14,Firebird,2003,,,137,,,137,4454,4454,302,302,Patricia A. McKillip,Patricia A. McKillip,59,False
61,The Changeling,Zilpha Keatley Snyder,4.17,0595321801,9780595321803,eng,228,1176,96,2004-06-08,iUniverse,2004,,,228,,,228,1176,1176,96,96,Zilpha Keatley Snyder,Zilpha Keatley Snyder,61,False
63,The Changeling,Kate Horsley,3.55,1590301943,9781590301944,eng,339,301,43,2005-04-12,Shambhala,2005,,,339,,,339,301,301,43,43,Kate Horsley,Kate Horsley,63,False
66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,0449146979,9780449146972,eng,369,345,12,1990-08-28,Ivy Books,1990,,,369,,,369,345,345,12,12,Philippa Carr,Philippa Carr,66,False
67,The Known World,Edward P. Jones,3.83,0061159174,9780061159176,eng,388,29686,2626,2006-08-29,Amistad,2006,,,388,,,388,29686,29686,2626,2626,Edward P. Jones,Edward P. Jones,67,False
68,The Known World,Edward P. Jones / Kevin R. Free,3.83,006076273X,9780060762735,en-US,14,55,12,2004-06-15,HarperAudio,2004,,,14,,,14,55,55,12,12,Edward P. Jones/Kevin R. Free,Edward P. Jones/Kevin R. Free,68,False
69,The Known World,Edward P. Jones,3.83,0060749911,9780060749910,eng,576,22,3,2004-06-15,Harper,2004,,,576,,,576,22,22,3,3,Edward P. Jones,Edward P. Jones,69,False
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,0273704745,9780273704744,eng,334,1456,82,2006-05-15,FT Press,2006,,,334,,,334,1456,1456,82,82,Satyajit Das,Satyajit Das,71,False
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106,9781932386103,eng,352,52,4,2005-12-14,Archaia,2005,,,352,,,352,52,52,4,4,Mark Smylie,Mark Smylie,72,False
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee / William Howarth,4.42,0374517193,9780374517199,eng,416,562,37,1982-06-01,Farrar  Straus and Giroux,1982,,,416,,,416,562,562,37,37,John McPhee/William Howarth,John McPhee/William Howarth,74,False
75,Uncommon Carriers,John McPhee,3.95,0374280398,9780374280390,en-US,248,1630,203,2006-05-16,Farrar Straus Giroux,2006,,,248,,,248,1630,1630,203,203,John McPhee,John McPhee,75,False
76,Heirs of General Practice,John McPhee,4.17,0374519749,9780374519742,eng,128,268,22,1986-04-01,Farrar  Straus and Giroux,1986,,,128,,,128,268,268,22,22,John McPhee,John McPhee,76,False
77,The Control of Nature,John McPhee,4.24,0374522596,9780374522599,en-US,288,3498,305,1990-09-01,Farrar  Straus and Giroux,1990,,,288,,,288,3498,3498,305,305,John McPhee,John McPhee,77,False
78,Annals of the Former World,John McPhee,4.34,0374518734,9780374518738,eng,720,3115,228,1999-01-06,Farrar  Straus and Giroux,1999,,,720,,,720,3115,3115,228,228,John McPhee,John McPhee,78,False
79,Coming Into the Country,John McPhee,4.22,0374522871,9780374522872,eng,448,5704,261,1991-04-01,Farrar  Straus and Giroux,1991,,,448,,,448,5704,5704,261,261,John McPhee,John McPhee,79,False
80,La Place de la Concorde Suisse,John McPhee,3.92,0374519323,9780374519322,fre,160,698,52,1994-04-01,Farrar  Straus and Giroux,1994,,,160,,,160,698,698,52,52,John McPhee,John McPhee,80,False
81,Giving Good Weight,John McPhee,4.23,0374516006,9780374516000,eng,288,542,36,1994-04-01,Farrar  Straus and Giroux,1994,,,288,,,288,542,542,36,36,John McPhee,John McPhee,81,False
83,Rising from the Plains,John McPhee,4.23,0374520658,9780374520656,eng,208,1341,98,1987-11-01,Farrar  Straus and Giroux,1987,,,208,,,208,1341,1341,98,98,John McPhee,John McPhee,83,False
85,The Heidi Chronicles,Wendy Wasserstein,3.75,0822205106,9780822205104,eng,81,1423,70,2002-03-01,Dramatists Play Service,2002,,,81,,,81,1423,1423,70,70,Wendy Wasserstein,Wendy Wasserstein,85,False
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,0679734996,9780679734994,eng,249,2766,64,1991-07-02,Vintage,1991,,,249,,,249,2766,2766,64,64,Wendy Wasserstein,Wendy Wasserstein,86,False
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231,9781596670235,eng,138,31,1,2006-03-29,Routledge,2006,,,138,,,138,31,31,1,1,Heidi Hayes Jacobs,Heidi Hayes Jacobs,89,False
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,1581807740,9781581807745,en-US,128,62,4,2006-03-14,North Light Books,2006,,,128,,,128,62,62,4,4,Heidi Boyd,Heidi Boyd,90,False
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker / Rolland Baker,4.46,0800793617,9780800793616,eng,192,860,53,2003-09-01,Chosen Books,2003,,,192,,,192,860,860,53,53,Heidi Baker/Rolland Baker,Heidi Baker/Rolland Baker,91,False
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,0871202867,9780871202864,en-US,108,77,2,1997-01-28,Association for Supervision & Curriculum Development,1997,,,108,,,108,77,77,2,2,Heidi Hayes Jacobs,Heidi Hayes Jacobs,92,False
93,Heidi (Heidi  #1-2),Johanna Spyri / Beverly Cleary / Angelo Rinaldi,3.99,0753454947,9780753454947,eng,352,153317,2257,2002-11-15,Kingfisher,2002,,,352,,,352,153317,153317,2257,2257,Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,Johanna Spyri/Beverly Cleary/Angelo Rinaldi,93,False
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,0871209993,9780871209993,eng,192,55,5,2004-11-15,ASCD,2004,,,192,,,192,55,55,5,5,Heidi Hayes Jacobs,Heidi Hayes Jacobs,94,False
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker / Heidi Baker,4.46,1852402873,9781852402877,eng,192,34,6,2003-04-28,Sovereign World,2003,,,192,,,192,34,34,6,6,Rolland Baker/Heidi Baker,Rolland Baker/Heidi Baker,96,False
98,What to Expect the First Year (What to Expect),Heidi Murkoff / Sharon Mazel / Arlene Eisenberg / Sandee Hathaway / Mark D. Widome,3.89,0761129588,9780761129585,eng,832,11797,659,2003-10-16,Workman Publishing Company,2003,,,832,,,832,11797,11797,659,659,Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,98,False
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss / Libby Keatinge,3.82,0972016414,9780972016414,eng,123,34,8,2004-05-10,One Hour Entertainment,2004,,,123,,,123,34,34,8,8,Heidi Fleiss/Libby Keatinge,Heidi Fleiss/Libby Keatinge,99,False
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,1581805632,9781581805635,en-US,128,78,4,2004-08-19,North Light Books,2004,,,128,,,128,78,78,4,4,Heidi Boyd,Heidi Boyd,100,False
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,0441294677,9780441294671,eng,423,2785,166,1987-06-15,Ace Books,1987,,,423,,,423,2785,2785,166,166,Frank Herbert,Frank Herbert,103,False
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,0441102670,9780441102679,eng,436,38778,568,1987-07-01,Ace Books,1987,,,436,,,436,38778,38778,568,568,Frank Herbert,Frank Herbert,105,False
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,0441172695,9780441172696,eng,331,97494,2359,1987-07-15,Ace Books,1987,,,331,,,331,97494,97494,2359,2359,Frank Herbert,Frank Herbert,106,False
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,0765306476,9780765306470,en-US,592,784,21,2004-07-01,Tor Books,2004,,,592,,,592,784,784,21,21,Brian Herbert,Brian Herbert,107,False
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,0399128980,9780399128981,eng,480,272,20,1984-04-16,Putnam,1984,,,480,,,480,272,272,20,20,Frank Herbert,Frank Herbert,109,False
110,The Road to Dune,Frank Herbert / Brian Herbert / Kevin J. Anderson,3.88,0765353709,9780765353702,eng,426,4789,83,2006-08-29,Tor Science Fiction,2006,,,426,,,426,4789,4789,83,83,Frank Herbert/Brian Herbert/Kevin J. Anderson,Frank Herbert/Brian Herbert/Kevin J. Anderson,110,False
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,0441328008,9780441328000,eng,471,45388,644,1987-08-15,Ace Books,1987,,,471,,,471,45388,45388,644,644,Frank Herbert,Frank Herbert,117,False
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,0618212906,9780618212903,eng,192,26153,102,2002-06-12,Houghton Mifflin Harcourt,2002,,,192,,,192,26153,26153,102,102,Gary Russell,Gary Russell,119,False
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,9780345410054,eng,544,69167,4551,1996-09-29,Ballantine Books,1996,,,544,,,544,69167,69167,4551,4551,Bryce Courtenay,Bryce Courtenay,122,False
123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,0385732546,9780385732543,eng,291,45,13,2005-09-13,Delacorte Books for Young Readers,2005,,,291,,,291,45,45,13,13,Bryce Courtenay,Bryce Courtenay,123,False
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell / Stephen R. Graves / Thomas G. Addington,4.28,0785260056,9780785260059,en-US,256,16,1,2004-11-01,Thomas Nelson,2004,,,256,,,256,16,16,1,1,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,129,False
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,0471780936,9780471780939,eng,205,174,16,2006-05-19,Wiley,2006,,,205,,,205,174,174,16,16,Dave Lakhani,Dave Lakhani,130,False
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,0325001537,9780325001531,eng,240,10,0,2000-02-07,Heinemann Drama,2000,,,240,,,240,10,10,0,0,Louis E. Catron,Louis E. Catron,131,False
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,006076287X,9780060762872,eng,336,76,9,2005-05-03,William Morrow Paperbacks,2005,,,336,,,336,76,76,9,9,Adam Ginsberg,Adam Ginsberg,132,False
133,eBay for Dummies,Marsha Collier,3.5,0470045299,9780470045299,eng,386,111,9,2006-10-30,Wiley,2006,,,386,,,386,111,111,9,9,Marsha Collier,Marsha Collier,133,False
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta / Lisa Suttora,3.62,0072262788,9780072262780,eng,260,24,0,2006-01-24,McGraw-Hill,2006,,,260,,,260,24,24,0,0,Chris Malta/Lisa Suttora,Chris Malta/Lisa Suttora,135,False
137,Starting an eBay Business for Dummies,Marsha Collier,3.55,0764569244,9780764569241,eng,384,55,4,2004-09-17,Wiley,2004,,,384,,,384,55,55,4,4,Marsha Collier,Marsha Collier,137,False
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,0471933821,9780471933823,eng,260,9,0,2006-06-06,Wiley,2006,,,260,,,260,9,9,0,0,Julia Wilkinson,Julia Wilkinson,138,False
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,0764559915,9780764559914,en-US,391,22,1,2004-05-31,Wiley,2004,,,391,,,391,22,22,1,1,Marsha Collier,Marsha Collier,139,False
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,0764584383,9780764584381,en-US,864,17,3,2005-04-25,Wiley,2005,,,864,,,864,17,17,3,3,Marsha Collier,Marsha Collier,140,False
141,Ruby Cookbook,Lucas Carlson / Leonard Richardson,3.84,0596523696,9780596523695,eng,873,166,4,2006-07-29,O'Reilly Media,2006,,,873,,,873,166,166,4,4,Lucas Carlson/Leonard Richardson,Lucas Carlson/Leonard Richardson,141,False
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,0806523492,9780806523491,eng,240,50,5,2005-05-03,Citadel,2005,,,240,,,240,50,50,5,5,Ruby Ann Boxcar,Ruby Ann Boxcar,142,False
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,0806525363,9780806525365,eng,206,13,2,2005-05-03,Citadel,2005,,,206,,,206,13,13,2,2,Ruby Ann Boxcar,Ruby Ann Boxcar,144,False
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,0596527314,9780596527310,eng,514,64,1,2007-01-01,O'Reilly Media,2007,,,514,,,514,64,64,1,1,Rob Orsini,Rob Orsini,147,False
151,Anna Karenina,Leo Tolstoy / Richard Pevear / Larissa Volokhonsky,4.05,0143035002,9780143035008,eng,838,16643,1851,2004-05-31,Penguin Classics,2004,,,838,,,838,16643,16643,1851,1851,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,151,False
152,Anna Karenina,Leo Tolstoy / David Magarshack / Priscilla Meyer,4.05,0451528611,9780451528612,eng,960,109420,5696,2002-11-05,Signet,2002,,,960,,,960,109420,109420,5696,5696,Leo Tolstoy/David Magarshack/Priscilla Meyer,Leo Tolstoy/David Magarshack/Priscilla Meyer,152,False
153,Anna Karenina,Leo Tolstoy / Richard Pevear / Larissa Volokhonsky / John Bayley,4.05,0140449175,9780140449174,eng,837,2904,309,2003-01-30,Penguin Books,2003,,,837,,,837,2904,2904,309,309,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,153,False
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman / Leo Tolstoy,3.85,0822001837,9780822001836,eng,80,16,3,1965-11-26,Cliffs Notes,1965,,,80,,,80,16,16,3,3,Marianne Sturman/Leo Tolstoy,Marianne Sturman/Leo Tolstoy,154,False
155,Anna Karenina,Leo Tolstoy / Amy Mandelker / Constance Garnett,4.05,1593080271,9781593080273,eng,803,9564,726,2003-07-01,Barnes & Noble Classics,2003,,,803,,,803,9564,9564,726,726,Leo Tolstoy/Amy Mandelker/Constance Garnett,Leo Tolstoy/Amy Mandelker/Constance Garnett,155,False
156,Anna Karenina,Leo Tolstoy / Louise Maude / Aylmer Maude,4.05,0486437965,9780486437965,eng,752,474,72,2004-11-23,Dover Publications,2004,,,752,,,752,474,474,72,72,Leo Tolstoy/Louise Maude/Aylmer Maude,Leo Tolstoy/Louise Maude/Aylmer Maude,156,False
157,Anna Karenina,Leo Tolstoy / Constance Garnett / Amy Mandelker,4.05,1593081774,9781593081775,eng,803,303,48,2004-08-26,Barnes & Noble,2004,,,803,,,803,303,303,48,48,Leo Tolstoy/Constance Garnett/Amy Mandelker,Leo Tolstoy/Constance Garnett/Amy Mandelker,157,False
159,Dinner with Anna Karenina,Gloria Goldreich,2.99,0778322270,9780778322276,eng,360,411,65,2006-01-28,Mira Books,2006,,,360,,,360,411,411,65,65,Gloria Goldreich,Gloria Goldreich,159,False
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,0521313252,9780521313254,eng,128,1204,33,1987-11-26,Cambridge University Press,1987,,,128,,,128,1204,1204,33,33,Anthony Thorlby,Anthony Thorlby,160,False
162,Untouchable,Mulk Raj Anand / E.M. Forster,3.71,0140183957,9780140183955,eng,160,3429,279,1990-07-03,Penguin Books,1990,,,160,,,160,3429,3429,279,279,Mulk Raj Anand/E.M. Forster,Mulk Raj Anand/E.M. Forster,162,False
163,The Untouchable,John Banville,3.95,0679767479,9780679767473,eng,367,2163,216,1998-06-30,Vintage,1998,,,367,,,367,2163,2163,216,216,John Banville,John Banville,163,False
164,The Untouchables,Eliot Ness / Oscar Fraley,3.89,1568491980,9781568491981,eng,256,613,31,1996-02-01,Buccaneer Books,1996,,,256,,,256,613,613,31,31,Eliot Ness/Oscar Fraley,Eliot Ness/Oscar Fraley,164,False
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,0743270797,9780743270793,en-US,320,308,40,2005-09-27,Scribner,2005,,,320,,,320,308,308,40,40,Narendra Jadhav,Narendra Jadhav,165,False
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar / Y.N. Kly,4.2,0932863051,9780932863058,eng,100,10,0,1995-01-28,Clarity Press,1995,,,100,,,100,10,10,0,0,V.T. Rajshekar/Y.N. Kly,V.T. Rajshekar/Y.N. Kly,166,False
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon / Gail Omvedt / Eleanor Zelliot,3.65,0742508803,9780742508804,eng,224,16,4,2000-12-20,Rowman & Littlefield Publishers,2000,,,224,,,224,16,16,4,4,Vasant Moon/Gail Omvedt/Eleanor Zelliot,Vasant Moon/Gail Omvedt/Eleanor Zelliot,168,False
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,0205358624,9780205358625,eng,216,10,0,2003-09-22,Pearson,2003,,,216,,,216,10,10,0,0,Barry R. Cournoyer,Barry R. Cournoyer,171,False
